,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
350,NAT,Nordic American Tankers Limited,847.71M,-0.74%,3701378,339.34M
351,ERII,"Energy Recovery, Inc.",845.90M,-1.62%,277091,128.35M
352,NKLA,Nikola Corporation,841.84M,-6.32%,73063900,35.84M
353,BLDP,Ballard Power Systems Inc.,837.89M,-1.44%,2082098,102.37M
354,SPLP,Steel Partners Holdings L.P.,818.30M,-1.26%,279,1.91B
355,RGR,"Sturm, Ruger & Company, Inc.",810.43M,-0.02%,135921,543.77M
356,VLRS,"Controladora Vuela Compañía de Aviación, SAB de CV",809.38M,0.28%,277941,2.85B
357,SWBI,"Smith & Wesson Brands, Inc.",801.97M,1.37%,444467,521.46M
358,XMTR,"Xometry, Inc.",798.62M,0.67%,360352,463.41M
359,DXPE,"DXP Enterprises, Inc.",797.57M,5.46%,223118,1.68B
360,ATSG,"Air Transport Services Group, Inc.",795.41M,-2.73%,571521,2.07B
361,BBSI,"Barrett Business Services, Inc.",781.99M,0.97%,32500,1.07B
362,IRS,IRSA Inversiones y Representaciones SA,774.94M,6.06%,261274,348.50M
363,VVI,Viad Corp,772.24M,-3.87%,53377,1.24B
364,HAYN,"Haynes International, Inc.",759.95M,0.03%,175585,604.64M
365,CYRX,"Cryoport, Inc.",743.48M,-1.05%,425980,233.26M
366,CECO,CECO Environmental Corp.,743.02M,0.70%,206667,544.85M
367,DCO,Ducommun Incorporated,735.72M,-1.33%,49711,756.99M
